source,destination,flow
Shanghai,Fujian,6172874
Shanghai,Gansu,2387455
Shanghai,Guangdong,24271971
Shanghai,Guangxi,4633941
Shanghai,Guizhou,4734992
Shanghai,Hainan,6337389
Shanghai,Hebei,2043193
Shanghai,Heilongjiang,4319624
Shanghai,Henan,3211442
Shanghai,Hong Kong,3520880
Shanghai,Hubei,3883742
Shanghai,Hunan,4531430
Shanghai,Inner Mongolia,2494485
Shanghai,Jiangsu,469098
Shanghai,Jiangxi,3249716
Shanghai,Jilin,3723405
Shanghai,Liaoning,7820497
Shanghai,Macau,1364032
Shanghai,Ningxia,1539783
Shanghai,Qinghai,926108
Shanghai,Shaanxi,6098568
Shanghai,Shandong,9213136
Shanghai,Shanxi,3480464
Shanghai,Sichuan,8903183
Shanghai,Taiwan,3598760
Shanghai,Tianjin,2967720
Shanghai,Tibet,99361
Shanghai,Xinjiang,2487252
Shanghai,Yunnan,6373281
Shanghai,Zhejiang,625048
Shanxi,Anhui,751347
Shanxi,Beijing,1448846
Shanxi,Chongqing,1361434
Shanxi,Fujian,1159607
Shanxi,Gansu,268998
Shanxi,Guangdong,3633091
Shanxi,Guangxi,931582
Shanxi,Guizhou,890418
Shanxi,Hainan,1825750
Shanxi,Hebei,41627
Shanxi,Heilongjiang,707799
Shanxi,Henan,101110
Shanxi,Hong Kong,45976
Shanxi,Hubei,1088594
Shanxi,Hunan,1517404
Shanxi,Inner Mongolia,1097903
Shanxi,Jiangsu,2672849
Shanxi,Jiangxi,1348501
Shanxi,Jilin,434444
Shanxi,Liaoning,1702879
Shanxi,Macau,93110
Shanxi,Ningxia,383271
Shanxi,Qinghai,223241
Shanxi,Shaanxi,109333
Shanxi,Shandong,1328815
Shanxi,Shanghai,3489092
Shanxi,Shanxi,637834
Shanxi,Sichuan,1107308
Shanxi,Taiwan,100513
Shanxi,Tianjin,718221
Shanxi,Tibet,33354
Shanxi,Xinjiang,606358
Shanxi,Yunnan,1684681
Shanxi,Zhejiang,3034749
Sichuan,Anhui,1250664
